Dokument ID,Nachname,Vorname,Pseudonym,Gender,Titel,Untertitel_im_Text,Untertitel_im_Inhaltsverzeichnis,Jahr_ED,entstanden,Gattungslabel_ED,Gattungslabel_ED_normalisiert,Medium_ED,Medientyp_ED,Hg.,Kanon_Status,Nummer im Heft,seriell,Seiten,Medium_Zweitdruck,Jahr_Zweitdruck,Label_Zweitdruck,Medium_Drittdruck,Jahr_Drittdruck,Label_Drittdruck,in_Deutscher_Novellenschatz,in_Pantheon,in_RUB_Sammlung,in_B-v-Wiese,Verantwortlich_Erfassung,source_repository,Herkunft_Prätext_lt_Paratext,Wahrheitsbeglaubigung_lt_Paratext,Bearbeitungsqualität,spätere_Fassung_von,UrhGeschBis,falls_Episode_als_Ganztext_erfasst,
00017-00,Tieck,Ludwig,,m,Der Geheimnisvolle,Novelle,,1822,,N,N,Dresdener Merkur,Zeitung,,2,,TRUE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00018-00,Tieck,Ludwig,,m,Die Gemälde,Novelle,,1821,,N,N,Wendts Taschenbuch zum geselligen Vergnügen auf das Jahr 1822,Taschenbuch,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00019-00,Tieck,Ludwig,,m,Die Geschichte von den Haimonskindern,in zwanzig altfränkischen Bildern,,1797,,M,M,"Volksmährchen, hg. v. Peter Lebrecht Bd. 1",Anthologie,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00020-00,Tieck,Ludwig,,m,Die Gesellschaft auf dem Lande,Novelle,,1824,,N,N,Berlinischer Taschenkalender auf das Gemein-Jahr 1825,Kalender,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00021-00,Tieck,Ludwig,,m,Der Hexen-Sabbath,Novelle,,1831,,N,N,Novellen-Kranz. Ein Almanach auf das Jahr 1832,Anthologie,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00022-00,Tieck,Ludwig,,m,Des Lebens Überfluß,Novelle,,1838,,N,N,Urania. Taschenbuch auf das Jahr 1839,Taschenbuch,,3,,FALSE,,,,,,,,FALSE,FALSE,,,,DTA_Novellenschatz,,,normalisiert,,,,
00023-00,Tieck,Ludwig,,m,Peter Lebrecht.,Eine Geschichte ohne Abenteuerlichkeiten,,1795,,Geschichte,XE,"selbst. Berlin, Leipzig bei Nicolai",Buch,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00024-00,Tieck,Ludwig,,m,Die beiden merkwürdigsten Tage aus Siegmunds Leben,,,1796,,0E,0E,Straußfedern (darin anonym erschienen),Anthologie,Nicolai,2,,FALSE,91-136,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00025-00,Tieck,Ludwig,,m,Dichterleben. Zweiter Teil,Novelle,,1830,,N,N,Novellenkranz. Ein Almanach auf das Jahr 1831,Taschenbuch,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00026-00,Tieck,Ludwig,,m,Das Zauberschloß,Novelle,,1829,,N,N,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,,2,,FALSE,247-364,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00027-00,Tieck,Ludwig,,m,Die Wundersüchtigen,Novelle,,1830,,N,N,Novellenkranz. Ein Almanach auf das Jahr 1831,Taschenbuch,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00028-00,Tieck,Ludwig,,m,Der griechische Kaiser (später: der wiederkehrende griechische Kaiser),Novelle,,1830,,N,N,Urania. Taschenbuch auf das Jahr 1831,Taschenbuch,,2,,FALSE,1-230,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00029-00,Tieck,Ludwig,,m,Der Jahrmarkt,Novelle,,1831,,N,N,Novellenkranz. Ein Almanach auf das Jahr 1832,Taschenbuch,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,DigBib,,,normalisiert,,,,
00030-00,Tieck,Ludwig,,m,Der Mondsüchtige,Novelle,,1831,,N,N,Urania. Taschenbuch auf das Jahr 1832,Taschenbuch,,2,,FALSE,291-372,,,,,,,FALSE,FALSE,,,,,,,unknown,,,,
00031-00,Tieck,Ludwig,,m,Der getreue Eckardt und der Tannenhäuser,in zwei Abschnitten,,1799,,0E,0E,"Romantische Dichtungen, Bd. 1",Anthologie,,2,,FALSE,423-492,,,,,,,FALSE,FALSE,,,,,,,unknown,,,,
00032-00,Tieck,Ludwig,,m,Der Runenberg,,,1804,,0E,0E,Taschenbuch für Kunst und Laune,Taschenbuch,,3,,FALSE,,,,,,,,FALSE,FALSE,TRUE,,,,,,unknown,,,,
00033-00,Tieck,Ludwig,,m,Die Elfen,,,1812,,0E,0E,"Phantasus, Bd. 1",Sammlung,,2,,FALSE,411-441,,,,,,,FALSE,FALSE,,,,,,,unknown,,,,
00034-00,Tieck,Ludwig,,m,Der Pokal,,,1812,,0E,0E,"Phantasus, Bd. 1",Sammlung,,2,,FALSE,442-467,,,,,,,FALSE,FALSE,,,,,,,unknown,,,,
00035-00,Tieck,Ludwig,,m,Liebeszauber,,,1812,,0E,0E,"Phantasus, Bd. 1",Sammlung,,2,,FALSE,284-325,,,,,,,FALSE,FALSE,,,,,,,unknown,,,,
00036-00,o.N,o.N.,,unbekannt,Das Vermächtniß des Freundes,,,1827,,0E,0E,Urania. Ein Taschenbuch für das Jahr 1828,Taschenbuch,,0,,FALSE,,,,,,,,FALSE,FALSE,0,0,Julian Schröter,,,,unknown,,,,
00037-00,Arnim,"Ludwig Achim, von",,m,Winter-Launen. Siebenter Winterabend.,,,1809,,N,N,Der Winterabend. Novellen.,Anthologie,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,Textgrid,,,normalisiert,,,,
00038-00,Arnim,"Ludwig Achim, von",,m,Die drei Erznarren. Siebenter Winterabend.,,,1809,,N,N,Der Winterabend. Novellen.,Anthologie,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,Textgrid,,,normalisiert,,,,
00039-00,Arnim,"Ludwig Achim, von",,m,Ariel. Siebenter Winterabend.,,,1809,,N,N,Der Winterabend. Novellen.,Anthologie,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,Textgrid,,,normalisiert,,,,
00040-00,Hauff,Wilhelm,,m,Jud Süß,Novelle,,1827,,N,N,Cottas Morgenblatt für gebildete Stände,Zeitschrift,,2,,TRUE,,,,,,,,FALSE,FALSE,,,,,,,normalisiert,,,,
00041-00,Schefer,Leopold,,m,Die Deportirten,Novelle,,1824,,N,N,Taschenbuch zum geselligen Vergnügen auf das Jahr 1825,Taschenbuch,,1,,FALSE,112-321,,,,,,,FALSE,FALSE,,,,,,,normalisiert,,,,
00042-00,Goethe,Johann Wolfgang,,m,Die neue Melusine,Märchen,,1816,,M,M,Taschenbuch für Damen auf das Jahr 1817/1819,Taschenbuch,,3,,TRUE,"Auf 1817, S. 1–24; auf 1819, XIX–XXXVI",,,,,,,TRUE,FALSE,,,,Textgrid,,,normalisiert,,,,
00043-00,Zschokke,Heinrich,,m,Das Abenteuer der Neujahrsnacht,Erzählung,,1818,,0E,0E,Erheiterungen. Eine Monatsschrift für gebildete Leser,Zeitschrift,,1,,TRUE,,,,,,,,FALSE,FALSE,,,,,,,normalisiert,,,,
00044-00,Goethe,Johann Wolfgang,,m,Der Mann von funfzig Jahren,,,1817,,0E,0E,Taschenbuch für Damen auf das Jahr 1818,Taschenbuch,,3,,FALSE,,,,,,,,FALSE,FALSE,FALSE,TRUE,,Textgrid,,,normalisiert,,,,
00045-00,Hoffmann,E. T. A. ,,m,Die Doppelgänger,Erzählung,,1822,,E,E,Feierstunden. Eine Schrift für edle Unterhaltung in zwanglosen Bänden (Brünn),Taschenbuch,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,,,,normalisiert,,,,
00046-00,Grillparzer,Franz,,m,Der arme Spielmann,Erzählung,,1847,,E,E,Iris – Almanach/Taschenbuch auf das Jahr 1848 ,Taschenbuch,,3,,FALSE,1-54,,,,,,,TRUE,FALSE,,,,DTA_Novellenschatz,,,normalisiert,,,,
00047-00,Droste-Hülshoff,"Annette, von",,f,Die Judenbuche,Sittengemälde,,1842,,Sittengemälde,XE,Cottas’s Morgenblatt für gebildete Leser,Zeitschrift,,3,,TRUE,,Deutscher Novellenschatz (Heyse),1871f.,Novelle,,,,TRUE,FALSE,TRUE,,,DTA_Novellenschatz,,,normalisiert,,,,
00048-00,Mörike,Eduard,,m,Mozart auf der Reise nach Prag,Novelle,,1855,,N,N,Cotta’s Morgenblatt für gebildete Leser,Zeitschrift,,3,,TRUE,,,,,,,,TRUE,FALSE,,,,DigBib,,,normalisiert,,,,
00049-00,Storm,Theodor,,m,Eine Halligfahrt,Erstpublikation. “Zerstreute Kapitel. Kapitel X”,,1871,,0E,0E,Westermanns illustrierte deutsche Monatshefte,Zeitschrift,,3,,TRUE,81-94,,,,,,,TRUE,FALSE,TRUE,TRUE,,,,,normalisiert,,,,
00050-00,Imhoff,"Amalie, von",,f,Die Nacht im Prado,Novelle,,1801,,N,N,Aglaia. Jahrbuch für Frauenzimmer auf 1802,Taschenbuch,,0,,FALSE,324-391,,,,,,,FALSE,FALSE,,,,,,,,,,,
00051-00,Ahlefeld,Charlotte von,,f,Marie Müller,,,1799,,R,R,[als Buch],Buch,,2,,FALSE,,,,,,,,FALSE,FALSE,,,,,,,normalisiert,,,,
00052-00,o.N,o.N.,,unbekannt,Der Bassa von Algier,Dramatisierte Novelle,,1781,,N,N,[als Buch],Buch,,0,,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,
00053-00,Rellstab,Ludwig,,m,Miller und Müller,Novelle,,1841,,N,N,Sonnenblumensträuße,Anthologie,,0,,FALSE,255-346,,,,,,,FALSE,FALSE,,,,,,,,,,,
00054-00,Rellstab,Ludwig,,m,Berghold,Novelle,,1841,,N,N,Sonnenblumensträuße,Anthologie,,0,,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,
00055-00,Rellstab,Ludwig,,m,Osraim der Suchäer,Novelle,,1838,,N,N,"Sommerfrüchte, Bd. 1",Anthologie,,0,,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,
00056-00,Kalkreuth,Friedrich Graf,,m,Ebba Gräfin Brahe.,,,1820,,0P,0P,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,73-140,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00057-00,Theodore,,,f,Die Mutter und Ihre Töchter,Nach einer Legende,,1820,,V_Legende,V ,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,247-255,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00058-00,Malsburg,Freiherr von,,m,Die drei Fräulein von Boyneburg,Balladen,,1820,,V_Ballade,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,257-269,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00059-00,Erhardt,Elise,,f,Der Brief,Eine Erzählung,,1820,,E,E,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,353-372,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00060-00,Schuetz,,,m,Der Raub der Verlobten.,Erzählung,,1820,,E,E,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,274-308,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00061-00,Aline,,,f,Das Spiegelbild,Ein Mährchen,,1820,,V_M,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,309-324,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00062-00,Förster,Friedrich,,m,Rafael sanzio von Urbino. Dreihundert Jahre nach seinem Tode,Erinnerungen,,1820,,0P,0P,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,223-246,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00063-00,Mueller,Wilhelm,,m,Erinnerungen aus Florenz Bacchus in Toscana,Erinnerungen,,1820,,0P,0P,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,443-448,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00064-00,Jacobs,D. Friedrich,,m,Der Ring,Poetische Erzählung in drei Gesängen,,1820,,V_E,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,452-509,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00065-00,Chezy,Helmina von,,f,Die drei weisen Rosen,Rittergedicht in drei Gesängen,,1820,,Lyrik,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,4-8,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00066-00,Franz,Agnes,,f,Sonnenhold,Romantisches Gedicht in vier Gesängen,,1820,,Lyrik,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,143-22,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00067-00,Peregrinus,,,m,Zwei Romanzen,,,1820,,V_Romanze,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,375-382,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00068-00,Loeben,Otto Heinrich Graf von,,m,Loreley,Eine Sage vom Rhein,,1820,,V_Sage,V,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,322-344,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00069-00,Usener,W.,,m,Die Brüder,Trauerspiel in drei Aufzügen,,1820,,Drama,Drama,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,383-442,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00070-00,Houwald ,Ernst von,,m,Wohin?,Sonettenkranz,,1820,,Lyrik,Lyrik,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,,0,,FALSE,345-350,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00071-00,Boettiger,C. W.,,m,"Radegundis und Amalfred, oder die letzten Alt-Thüringer",,,1821,,0P,0P,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,,0,,FALSE,127-169,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00072-00,Mosengeil,Friedrich,,m,"Sieg der Kunst, des Künstlers Lohn",Prosaische Erzählung,,1821,,E,E,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,,0,,FALSE,1-69,Als: „Das Bild der schönen Unbekannten“. In: Mosengeil: Drei Freunde auf Reisen,1828,Novelle,,,,FALSE,FALSE,0,0,Julian Schröter,0,,,niedrig_original,,,,
00073-00,Mueller,Wilhelm,,m,Lord Byron,,,1821,,0P,0P,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,,0,,FALSE,205-262,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00074-00,Schuetz,Wilhelm von,,m,Ausstellungen den Reisen und Abentheuern Jean Jaques Casanova de Seingalt.,Nach dem in französischer Sprache geschriebenen Original-Manuscript bearbeitet von,,1821,,0P,0P,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,,0,,FALSE,263-374,,,,,,,FALSE,FALSE,,,,,französisch,,niedrig_original,,,,
00075-00,Brockhaus,F. A.,Guntram,m,Die Nebenbuhlerin ihrer selbst,Erzählung,,1821,,E,E,Urania. Taschenbuch auf das Jahr 1822,Taschenbuch,,0,,FALSE,434-475,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00076-00,Boettiger,C. W.,,m,Sabina an der Küste von Neapel,,,1822,,0E,0E,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,,0,,FALSE,1-42,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00077-00,Schuetz,Wilhelm von,,m,Fragmente aus Casanovas handschriftlichen Memoiren,,,1822,,0P,0P,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,,0,,FALSE,391-546,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00078-00,Raumer,Friedrich von,,m,Die Eroberung von Konstantinopel im Jahre 1204,,,1822,,0P,0P,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,,0,,FALSE,329-374,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00079-00,Schilling,Gustav,,m,Rosen und Lilien,Erzählung,,1822,,E,E,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,,0,,FALSE,283-296,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00080-00,Montemayor,Jorge de,,m,Der Gefangene,Novelle,,1822,,N,N,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,,0,,FALSE,233-256,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00081-00,Mosengeil,Friedrich,,m,Florentin,Novelle,,1822,,N,N,Urania. Taschenbuch auf das Jahr 1823,Taschenbuch,,0,,FALSE,113-188,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00082-00,Mosengeil,Friedrich,,m,Das Festspiel zu Petermichelthal,Erzählung,,1823,,E,E,Urania. Taschenbuch auf das Jahr 1824,Taschenbuch,,0,,FALSE,129-188,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00083-00,Streckfuß,Karl,,m,Der Falk,Erzählung,,1823,,E,E,Urania. Taschenbuch auf das Jahr 1824,Taschenbuch,,0,,FALSE,65-86,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00084-00,Sotzmann,,,,Der dicke Tischler,alt-florentlnischer Künstlerschwank,,1823,,Schwank,XE,Urania. Taschenbuch auf das Jahr 1824,Taschenbuch,,0,,FALSE,1-64,,,,,,,FALSE,FALSE,,,,,italienisch,,niedrig_original,,,,
00085-00,o.N,o.N.,,unbekannt,Fabio und Bibiana,Aus dem Italienischen,,1830,,0E,0E,Pantheon. Bd. 20,Sammlung,,0,,FALSE,164–196,,,,,,,FALSE,TRUE,,,,,italienisch,,niedrig_original,,,,
00086-00,Schopenhauer,Johanna,,f,Anton Solaris der Klempner,Eine Malergeschichte,,1825,,Malergeschichte,XE,Urania. Taschenbuch auf das Jahr 1826,Taschenbuch,,0,,FALSE,209-250,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00087-00,Blumenhagen,Wilhelm,,m,"Männertreue, oder so sind nicht Alle.",,,1825,,0E,0E,Urania. Taschenbuch auf das Jahr 1826,Taschenbuch,,0,,FALSE,397-500,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00088-00,Sartorius,A. v.,,,Der Deutsche in Lissabon,Erzählung,,1829,,E,E,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,,0,,FALSE,1-110,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00089-00,Schwab,Gustav,,m,Griseldis,Volkssage in zehn Romanzen,,1829,,V_ Sage_Romanze,V ,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,,0,,FALSE,111-158,,,,,,,FALSE,FALSE,,,,,,,niedrig_norm,,,,
00090-00,Schopenhauer,Johanna,,f,Liebesheirath,Novelle,,1829,,N,N,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,,0,,FALSE,159-246,,,,,,,FALSE,FALSE,,,,,,,niedrig_norm,,,,
00091-00,Martell,Wilhelm,,m,Der Sturm,Novelle,,1829,,N,N,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,,0,,FALSE,365-466,,,,,,,FALSE,FALSE,,,,,,,niedrig_norm,,,,
00092-00,Weißenthurn,Johanna Franul v.,,f,Die arme Liese,Erzählung,,1814,,E,E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,,0,,FALSE,1-73,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00093-00,Neumann von Meißenthal,Marianne,,f,"Die Familie Mollberg, oder der Page.",Eine Erzählung,,1814,,E,E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,,0,,FALSE,123-212,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00094-00,Neumann von Meißenthal,Marianne,,f,Die drei Fackeln,Eine Erzählung,,1814,,E,E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,,0,,FALSE,90-99,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00095-00,Pichler,Caroline,,f,Der Graf von Barcellona,,,1814,,0E,0E,Aglaia. Jahrbuch für Frauenzimmer auf 1815,Taschenbuch,,0,,FALSE,230-285,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00096-00,Pichler,Caroline,,f,Die Sennhütte auf den Schweizeralpen,"aus dem Franz. der Frau v. Montolieu, von Carol. Pichler",,1815,,0E,0E,Aglaia. Jahrbuch für Frauenzimmer auf 1816,Taschenbuch,,0,,FALSE,3-56,,,,,,,FALSE,FALSE,,,,,französisch,,niedrig_original,,,,
00097-00,Neumann von Meißenthal,Marianne,,f,"Martin und Suse, oder Der Berggeist des Karstes. ",Eine romantische Erzählung.,,1815,,RomantE,XE,Aglaia. Jahrbuch für Frauenzimmer auf 1816,Taschenbuch,,0,,FALSE,89-135,,,,,,,FALSE,FALSE,,,,,,,niedrig_original,,,,
00098-00,Pichler,Caroline,,f, Die Walpurgnisnacht,Nach einer Sage,"Erzählung nach einer Sage, von Caroline Pichler",1821,,E,E, Aglaja. Ein Taschenbuch für das Jahr 1822,Taschenbuch,,0,,FALSE, 16-63,,,,,,,FALSE,FALSE,,,Theresa Valta,,,,niedrig_original,,,,
00099-00,von Perin, Josephine,,f, Die Rückkehr, ,"Erzählung von Jospehine v. Perin, geb. Freyin v. Vogelsang",1821,,E,E, Aglaja. Ein Taschenbuch für das Jahr 1822,Taschenbuch,,0,,FALSE, 89-124,,,,,,,FALSE,FALSE,,,Theresa Valta,,,,niedrig_original,,,,
00100-00,Gleich, Friedrich,,m, Drusamonde und die drey Schwestern,,Erzählung von Friedrich Gleich,1821,,E,E, Aglaja. Ein Taschenbuch für das Jahr 1822,Taschenbuch,,0,,FALSE, 152-177,,,,,,,FALSE,FALSE,,,Theresa Valta,,,,niedrig_original,,,,
